Price,Close,High,Low,Open,Volume
Ticker,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS
Date,,,,,
1996-01-01,5.085219383239746,5.097980219808293,5.016310605662855,5.078838964955473,10242229
1996-01-02,4.990788459777832,5.0979801797288715,4.978027623309608,5.078838925026536,16954313
1996-01-03,4.992063999176025,5.104359864166345,4.978026907674445,4.990787742308186,13514114
1996-01-04,4.8338303565979,4.912947901058629,4.721534025560975,4.912947901058629,34785820
1996-01-05,4.73812198638916,4.798098257964838,4.689630726471266,4.775129101671627,30138033
1996-01-08,4.560745716094971,4.721532845804931,4.51991113034151,4.708772444173707,36752157
1996-01-09,4.539052963256836,4.577335910745016,4.4663158398917,4.4663158398917,36964108
1996-01-10,4.514807224273682,4.625826853741908,4.466315523128567,4.539052641334991,35923053
1996-01-11,4.620721817016602,4.643691406124845,4.502045534372146,4.517358449273921,27719296
1996-01-12,4.6028571128845215,4.693459660218489,4.574782925382559,4.620722544341337,31593194
1996-01-15,4.564574718475342,4.628379336995957,4.554365962171593,4.574783041267845,13352034
1996-01-16,4.555643081665039,4.593925599917589,4.519912644593727,4.564575582555036,19465667
1996-01-17,4.401235103607178,4.550538112140887,4.376989686419011,4.5173593286246465,25512510
1996-01-18,4.308080196380615,4.3706085545392845,4.2366193394881995,4.33998228722344,31930712
1996-01-19,4.271073818206787,4.323393419047582,4.236619214305615,4.255760468245729,20078367
1996-01-22,4.315738201141357,4.355296979377862,4.268522745339284,4.313186119789953,15288982
1996-01-23,4.144740581512451,4.333601915030301,4.083488479742156,4.2812827455997455,16752158
1996-01-24,4.088593482971191,4.693460551025678,4.019685125232472,4.144741435120625,20708877
1996-01-25,4.000542163848877,4.097525117160248,3.97502049374474,4.083488025198501,15920383
1996-01-26,4.000542163848877,4.000542163848877,4.000542163848877,4.000542163848877,0
1996-01-29,4.183024883270264,4.211098645927124,3.957156790503583,3.957156790503583,32353724
1996-01-30,4.218753337860107,4.338705430984496,4.134531231166144,4.262139997674834,32019768
1996-01-31,4.260865688323975,4.415272433026843,4.204717741749179,4.236619836333288,34765337
1996-02-01,4.356571674346924,4.3706083335011465,4.225134112997091,4.225134112997091,18475375
1996-02-02,4.674318313598633,4.7279137398963105,4.389750274005978,4.447174037934467,39733722
1996-02-05,4.856799602508545,5.155404758587116,4.6832511732799285,4.874664601480676,68921537
1996-02-06,4.445898056030273,4.912946993639106,4.3642280121787556,4.887425321691111,40024042
1996-02-07,4.620721817016602,4.696011001676337,4.376988834392688,4.44589760171742,45350428
1996-02-08,5.2919464111328125,5.318743909144979,4.632207746531702,4.644968583731187,114509743
1996-02-09,5.600759506225586,5.691361610603178,5.386376518649089,5.640317835698685,119682955
1996-02-12,5.285566806793213,5.576515326999107,5.206448823647753,5.484636938199628,83759011
1996-02-13,5.288116455078125,5.397860670835018,5.163060191836918,5.257490626064878,72385781
1996-02-14,5.437422275543213,5.665842023368519,5.385102220456939,5.487189382105569,67257097
1996-02-15,5.362131595611572,5.550992945044053,5.270252784947011,5.308535297590464,55699524
1996-02-16,5.249834060668945,5.3340557355098515,5.219207800039921,5.3340557355098515,36118975
1996-02-19,5.28173828125,5.383825424467849,5.257492427587914,5.3085357824411865,24685188
1996-02-20,5.078840732574463,5.289395909769941,5.0086556735093035,5.281739231759522,35231986
1996-02-21,5.078840732574463,5.078840732574463,5.078840732574463,5.078840732574463,0
1996-02-22,5.307260036468506,5.33405797156379,5.193687876637189,5.193687876637189,32953956
1996-02-23,5.261319160461426,5.33150418547967,5.20134289000099,5.295773761282925,29080949
1996-02-26,5.293221950531006,5.459113692239392,5.267700277502401,5.2842894516732395,70008010
1996-02-27,5.2077250480651855,5.303431333233552,5.168165843279803,5.303431333233552,40272505
1996-02-28,5.258767127990723,5.369786738737961,5.247282116442125,5.334056314216504,33926438
1996-02-29,4.925707817077637,5.231969180207793,4.868283621829578,5.220484601264906,67024663
1996-03-01,4.981856346130371,5.02651971073358,4.8899779696464964,4.988236764857792,56079789
1996-03-04,4.956334590911865,5.023967115028915,4.900186646913582,4.976751670402034,36523285
1996-03-05,4.956334590911865,4.956334590911865,4.956334590911865,4.956334590911865,0
1996-03-06,5.048213481903076,5.072459335259427,4.97164801707734,4.989513451157487,24779586
1996-03-07,5.01120662689209,5.140091698992325,4.989513288761322,5.068630832020203,32271794
1996-03-08,4.986959457397461,5.002272805927115,4.919326946428719,4.976750702881414,24870423
1996-03-11,4.891253471374512,4.963991020400267,4.83765804429373,4.912947240429008,32018877
1996-03-12,4.8236212730407715,4.9052908929426415,4.467591913532148,4.900186731359951,22942379
1996-03-13,5.015035152435303,5.034176843867475,4.8542475454728535,4.887426332784852,35833998
1996-03-14,4.963990211486816,5.089046910148584,4.946124783030352,5.01503354962901,32372426
1996-03-15,4.859350681304932,4.9869594626224565,4.842761509387871,4.957609455924761,33239823
1996-03-18,4.659006118774414,4.847867480916904,4.6449690231226395,4.810860789430994,35009348
